split,model,feature_family,n,r2,rmse_t_ha,mae_t_ha,sign_accuracy,spearman
locked_2016_2025,LightGBM,full,333,-0.009585982409517468,0.6671480320824719,0.47400680769681347,0.6396396396396397,0.23129887618681955
locked_2016_2025,LightGBM,metadata_only,333,-0.03062820692040713,0.6740646709135273,0.49313582125566935,0.5225225225225225,0.14929540066419422
locked_2016_2025,LightGBM,weather_only,333,-0.02225876961084383,0.6713221484171976,0.4762128946799153,0.6156156156156156,0.2168663873421532
