mechanism,level,seed,n_train,n_test,delta_rmse_a,delta_rmse_b,module_a_ci95_high,module_b_ci95_high,module_a_pass,module_b_pass
permutation_mix,0.0,18,159,92,-252838.79542696197,-145219.18341686676,-215904.52329929892,-111507.00025969082,True,True
permutation_mix,0.0,19,159,92,-252838.79542696197,-145219.18341686676,-215880.7789717304,-111942.88829067697,True,True
permutation_mix,0.0,20,159,92,-252838.79542696197,-145219.18341686676,-215811.30096114072,-111065.93250002735,True,True
permutation_mix,0.0,21,159,92,-252838.79542696197,-145219.18341686676,-215049.8834311089,-111860.58022461232,True,True
permutation_mix,0.0,22,159,92,-252838.79542696197,-145219.18341686676,-216129.09409591148,-112034.81242296261,True,True
permutation_mix,0.0,23,159,92,-252838.79542696197,-145219.18341686676,-214742.803261772,-110494.74442406195,True,True
permutation_mix,0.0,24,159,92,-252838.79542696197,-145219.18341686676,-212756.31214172518,-110037.70847596407,True,True
permutation_mix,0.0,25,159,92,-252838.79542696197,-145219.18341686676,-214039.64756326703,-112144.81474237137,True,True
permutation_mix,0.0,26,159,92,-252838.79542696197,-145219.18341686676,-212041.26946084187,-109941.63150784657,True,True
permutation_mix,0.0,27,159,92,-252838.79542696197,-145219.18341686676,-213178.20489443585,-109820.30036926785,True,True
permutation_mix,0.0,28,159,92,-252838.79542696197,-145219.18341686676,-215121.90884790386,-112037.13162620846,True,True
permutation_mix,0.0,29,159,92,-252838.79542696197,-145219.18341686676,-214689.59645801008,-111504.17827440615,True,True
permutation_mix,0.1,0,159,92,-256233.31526912987,-148613.70325903466,-221983.0527191109,-120377.53826338917,True,True
permutation_mix,0.1,1,159,92,-251995.25859708607,-144375.6465869908,-217192.0540765059,-113574.94402144215,True,True
permutation_mix,0.1,2,159,92,-254568.60524352,-146948.99323342473,-219248.1809720925,-119989.30920826289,True,True
permutation_mix,0.1,3,159,92,-244560.80690394627,-136941.194893851,-207722.0361434904,-105033.68088053558,True,True
permutation_mix,0.1,4,159,92,-250651.39273288936,-143031.78072279412,-214774.85092078548,-113458.36924501063,True,True
permutation_mix,0.1,5,159,92,-250736.76122238277,-143117.1492122875,-213895.98230089925,-109558.50092156747,True,True
permutation_mix,0.1,6,159,92,-254479.95857494883,-146860.34656485356,-219033.8145472232,-117179.12544713668,True,True
permutation_mix,0.1,7,159,92,-250976.5884084729,-143356.97639837768,-216095.94977785094,-113485.33589823589,True,True
permutation_mix,0.1,8,159,92,-251029.55837591336,-143409.94636581815,-216432.06014645883,-115633.47458986256,True,True
