arm_id,model_id,feature_family,outer_fold,rmse,mae,r2
C000,catboost,full,O1,0.421430795740872,0.3301903138592984,0.0858479414073986
C000,catboost,full,O2,0.36541286850359306,0.29744504403169214,0.09161808598272281
C000,catboost,full,O3,0.47438207645550085,0.36462696884533613,0.024490644894556546
C000,catboost,full,O4,0.4247975966750362,0.3421292349740611,-0.042863068983257424
C000,catboost,full,O5,0.6117905348716745,0.4795117410941449,-0.006560709358174988
C000,catboost,full,O6,0.49660961172761037,0.37646998070717946,-0.27551022684257
C000,catboost,metadata_only,O1,0.44260531961029004,0.36132251616874933,-0.008321816620026734
C000,catboost,metadata_only,O2,0.3837087069112336,0.3117550371744682,-0.0016225924558810334
C000,catboost,metadata_only,O3,0.49300948815682993,0.38531788240577325,-0.05362350390535586
C000,catboost,metadata_only,O4,0.4228595768359561,0.34351252468057647,-0.03336923471270081
C000,catboost,metadata_only,O5,0.6650414143594211,0.5240306749430401,-0.18941072117066016
C000,catboost,metadata_only,O6,0.4974915083189611,0.36896434647912735,-0.2800444399734918
C000,catboost,weather_only,O1,0.4310072030895696,0.33755814786850163,0.04383033415099369
C000,catboost,weather_only,O2,0.3628296393442105,0.2952745155748593,0.1044160169528291
C000,catboost,weather_only,O3,0.4762765028810952,0.3688032442471074,0.016683770174373613
C000,catboost,weather_only,O4,0.42644507388794084,0.3447958662342812,-0.050967751143267126
C000,catboost,weather_only,O5,0.6109331346910435,0.4767232977021281,-0.0037413764755409584
C000,catboost,weather_only,O6,0.48989041800309285,0.3678749799643139,-0.24122808334032042
C000,extra_trees,full,O1,0.41950111408842633,0.3267566147840906,0.09420036295775325
C000,extra_trees,full,O2,0.37724730959544506,0.30416792514829744,0.03182668999313143
C000,extra_trees,full,O3,0.4751024399051983,0.365961591123827,0.02152571484824295
C000,extra_trees,full,O4,0.42779004204339355,0.33907185922572913,-0.05760751460579172
C000,extra_trees,full,O5,0.608658795548426,0.4776481680471612,0.003718029335678885
C000,extra_trees,full,O6,0.472976751962718,0.34591088467206205,-0.15699982245934185
C000,extra_trees,metadata_only,O1,0.4426053196558245,0.3613225162697361,-0.008321816827495443
C000,extra_trees,metadata_only,O2,0.3837087067579609,0.31175503697337864,-0.0016225916556835696
C000,extra_trees,metadata_only,O3,0.4930094882905317,0.3853178826133897,-0.05362350447683095
C000,extra_trees,metadata_only,O4,0.4228595769256231,0.343512524766212,-0.033369235150950693
C000,extra_trees,metadata_only,O5,0.665041413886377,0.5240306746801361,-0.1894107194786041
C000,extra_trees,metadata_only,O6,0.4974915086484155,0.3689643466766335,-0.2800444416688628
C000,extra_trees,weather_only,O1,0.4198234313209218,0.32698217804201873,0.09280791377513187
C000,extra_trees,weather_only,O2,0.36617440069266183,0.2961864959221798,0.0878279463658882
C000,extra_trees,weather_only,O3,0.47959705542292785,0.3721721392968404,0.002924807266425078
C000,extra_trees,weather_only,O4,0.4296947726898617,0.34305187581066854,-0.06704645390702302
C000,extra_trees,weather_only,O5,0.6012677325685667,0.4670430570236189,0.027767214627319903
C000,extra_trees,weather_only,O6,0.47127812672419994,0.3479550963870335,-0.14870436170167145
C000,hist_gradient_boosting,full,O1,0.446755393259721,0.3531293455782278,-0.02731945646033007
C000,hist_gradient_boosting,full,O2,0.3717701897863671,0.3072641325448212,0.0597357371167504
C000,hist_gradient_boosting,full,O3,0.49222548451752873,0.368114059014994,-0.05027513890825941
C000,hist_gradient_boosting,full,O4,0.42719248821094,0.34463990737484146,-0.05465496323176566
C000,hist_gradient_boosting,full,O5,0.6032137868606281,0.4655151203242042,0.02146360137597525
C000,hist_gradient_boosting,full,O6,0.4940043728773129,0.3648805292682619,-0.26216254937715133
C000,hist_gradient_boosting,metadata_only,O1,0.44260531950058624,0.3613225160835903,-0.00832181612018279
C000,hist_gradient_boosting,metadata_only,O2,0.3837087069290472,0.31175503715130226,-0.0016225925488813076
C000,hist_gradient_boosting,metadata_only,O3,0.49300948802714534,0.3853178822870947,-0.05362350335105126
C000,hist_gradient_boosting,metadata_only,O4,0.42285957723027556,0.343512524966158,-0.03336923663994873
C000,hist_gradient_boosting,metadata_only,O5,0.6650414141863703,0.5240306747282585,-0.18941072055166552
C000,hist_gradient_boosting,metadata_only,O6,0.49749150829366295,0.3689643464029149,-0.28004443984330796
C000,hist_gradient_boosting,weather_only,O1,0.4466720834679811,0.3519832636812361,-0.0269363484269296
C000,hist_gradient_boosting,weather_only,O2,0.37798427399928375,0.3109122765625143,0.028040281558262548
C000,hist_gradient_boosting,weather_only,O3,0.4892644963516964,0.36443213039094224,-0.03767725977211356
C000,hist_gradient_boosting,weather_only,O4,0.43726302398678624,0.3520010925031807,-0.10496543740302577
C000,hist_gradient_boosting,weather_only,O5,0.6070009296003704,0.4706473545524121,0.009137987155981686
C000,hist_gradient_boosting,weather_only,O6,0.4952539560914758,0.3693916492450207,-0.2685559011585479
C000,lightgbm,full,O1,0.44329074264776064,0.35073047521037076,-0.01144722932861586
C000,lightgbm,full,O2,0.37069474847610917,0.30129899286431416,0.06516778347979213
C000,lightgbm,full,O3,0.47938877761208676,0.3583540891790689,0.0037906322051596275
C000,lightgbm,full,O4,0.4304794817968489,0.3476370522652889,-0.07094729553505452
C000,lightgbm,full,O5,0.6138085720022102,0.4707954441667587,-0.013212093874620745
C000,lightgbm,full,O6,0.49029342521504593,0.3677211948411894,-0.24327111012702707
C000,lightgbm,metadata_only,O1,0.44260531951702536,0.3613225159102149,-0.008321816195084653
C000,lightgbm,metadata_only,O2,0.38370870719437955,0.311755037527383,-0.0016225939341139028
C000,lightgbm,metadata_only,O3,0.4930094882033489,0.3853178823443527,-0.0536235041041897
C000,lightgbm,metadata_only,O4,0.4228595764107076,0.34351252423442324,-0.03336923263428626
C000,lightgbm,metadata_only,O5,0.66504141498621,0.5240306752136067,-0.1894107234126543
C000,lightgbm,metadata_only,O6,0.49749150798031694,0.3689643460040059,-0.2800444382308307
C000,lightgbm,weather_only,O1,0.44155039848212574,0.3519425556083281,-0.0035210051013401245
C000,lightgbm,weather_only,O2,0.37516834806124233,0.3062936126012741,0.04246824470360777
C000,lightgbm,weather_only,O3,0.47833739530908626,0.3574987513107667,0.00815555849123284
C000,lightgbm,weather_only,O4,0.4321412775183151,0.3491449967413693,-0.07923168919923085
C000,lightgbm,weather_only,O5,0.6133857628083051,0.4733438019806878,-0.011816714720275456
C000,lightgbm,weather_only,O6,0.5072127787527411,0.38062847988694093,-0.3305588149116676
C000,linear_shrinkage,full,O1,0.45624323740043427,0.36615396686238944,-0.07141762355967973
C000,linear_shrinkage,full,O2,0.4350534737457147,0.3536589400818777,-0.2876151711833046
C000,linear_shrinkage,full,O3,0.48433997915070004,0.37395684939710594,-0.016893643497294608
C000,linear_shrinkage,full,O4,0.4302686910901257,0.347956109393646,-0.06989874164597576
C000,linear_shrinkage,full,O5,0.6551291089910172,0.5130650543155741,-0.15421910832925612
C000,linear_shrinkage,full,O6,0.5139093288157928,0.3966229631541501,-0.3659245347361664
C000,linear_shrinkage,metadata_only,O1,0.4426053196558301,0.3613225162697387,-0.008321816827520978
C000,linear_shrinkage,metadata_only,O2,0.3837087067579616,0.31175503697338036,-0.0016225916556871223
C000,linear_shrinkage,metadata_only,O3,0.4930094882905326,0.3853178826133904,-0.05362350447683495
C000,linear_shrinkage,metadata_only,O4,0.42285957692562226,0.34351252476621164,-0.03336923515094692
C000,linear_shrinkage,metadata_only,O5,0.6650414138863813,0.5240306746801372,-0.1894107194786192
C000,linear_shrinkage,metadata_only,O6,0.4974915086484251,0.3689643466766386,-0.2800444416689125
C000,linear_shrinkage,weather_only,O1,0.4631974611896013,0.3755530465853782,-0.10432841233742107
C000,linear_shrinkage,weather_only,O2,0.38942869372264394,0.31464184876512,-0.03170776551055865
C000,linear_shrinkage,weather_only,O3,0.485060331353881,0.3744230780499574,-0.0199207168040354
C000,linear_shrinkage,weather_only,O4,0.4290476495172294,0.3470597469875982,-0.06383491597931323
C000,linear_shrinkage,weather_only,O5,0.6573904034030473,0.515342119178249,-0.16220084406232527
C000,linear_shrinkage,weather_only,O6,0.5015824071337108,0.3821545822346604,-0.30118274016335156
C001,catboost,full,O1,0.4177207461233449,0.32888171054694804,0.10187249795352382
C001,catboost,full,O2,0.36393716549315414,0.2960269168879129,0.09894018798221138
C001,catboost,full,O3,0.47375580003302975,0.3664509148890278,0.02706466807373853
C001,catboost,full,O4,0.42738816340601404,0.3423169959400454,-0.05562135231926746
C001,catboost,full,O5,0.6153885453355299,0.4812393073787313,-0.018434922271403087
C001,catboost,full,O6,0.49660961172761037,0.37646998070717946,-0.27551022684257
C001,catboost,metadata_only,O1,0.4426053196101418,0.36132251616849637,-0.008321816619351274
C001,catboost,metadata_only,O2,0.3837087068805561,0.3117550371377834,-0.00162259229572137
C001,catboost,metadata_only,O3,0.493009488176059,0.3853178824429814,-0.053623503987545895
C001,catboost,metadata_only,O4,0.42285957681345787,0.343512524665468,-0.033369234602740105
C001,catboost,metadata_only,O5,0.6650414143281079,0.5240306749341953,-0.1894107210586542
C001,catboost,metadata_only,O6,0.4974915084289071,0.36896434652735477,-0.28004444053927346
C001,catboost,weather_only,O1,0.4243093824540947,0.3353096887058942,0.07331704370365144
C001,catboost,weather_only,O2,0.36220964301986286,0.2942370945043084,0.10747411535330798
C001,catboost,weather_only,O3,0.47437964546735895,0.3665241368821073,0.0245006429350223
C001,catboost,weather_only,O4,0.43132635595993135,0.3491104939067706,-0.07516514912986416
C001,catboost,weather_only,O5,0.620648433305558,0.4879277868669702,-0.03591898776446478
C001,catboost,weather_only,O6,0.4906510594915164,0.37192964353395186,-0.24508552780589454
C001,extra_trees,full,O1,0.41950111408842633,0.3267566147840906,0.09420036295775325
C001,extra_trees,full,O2,0.3754255208633771,0.30481358496413286,0.041155044766488014
C001,extra_trees,full,O3,0.4751272678039133,0.3657510877630588,0.02142344597664736
C001,extra_trees,full,O4,0.4283581213184515,0.34069145353540453,-0.06041825710738791
C001,extra_trees,full,O5,0.6180022368089585,0.48602647952844275,-0.02710433114649291
C001,extra_trees,full,O6,0.4715736034714528,0.34590080102219034,-0.15014521715650142
C001,extra_trees,metadata_only,O1,0.4426053196558245,0.3613225162697361,-0.008321816827495443
C001,extra_trees,metadata_only,O2,0.38370870675796104,0.3117550369733787,-0.0016225916556840136
C001,extra_trees,metadata_only,O3,0.4930094882905317,0.38531788261338973,-0.05362350447683095
C001,extra_trees,metadata_only,O4,0.422859576925623,0.343512524766212,-0.03336923515095047
C001,extra_trees,metadata_only,O5,0.6650414138863766,0.5240306746801358,-0.18941071947860255
C001,extra_trees,metadata_only,O6,0.4974915086484158,0.36896434667663364,-0.28004444166886433
C001,extra_trees,weather_only,O1,0.41727949765170597,0.32706763998865485,0.10376892317089403
C001,extra_trees,weather_only,O2,0.3679187726143828,0.2970548956613377,0.07911648376497316
C001,extra_trees,weather_only,O3,0.4775967501486921,0.3683991227394877,0.01122467276584549
C001,extra_trees,weather_only,O4,0.42911532220506976,0.3434618313108079,-0.06417053485928559
C001,extra_trees,weather_only,O5,0.6012677325685667,0.4670430570236189,0.027767214627319903
C001,extra_trees,weather_only,O6,0.4715892605265465,0.3482299081995967,-0.15022159202500385
C001,hist_gradient_boosting,full,O1,0.4414674001570425,0.3511617798270172,-0.0031437764324362405
C001,hist_gradient_boosting,full,O2,0.3665464691007837,0.30058502258616043,0.08597329552228872
C001,hist_gradient_boosting,full,O3,0.4794698284913754,0.3619002421449307,0.0034537429215442117
C001,hist_gradient_boosting,full,O4,0.4291260059724069,0.344920986233323,-0.0642235252390071
C001,hist_gradient_boosting,full,O5,0.6137803645656889,0.47781972469056533,-0.013118972141142882
C001,hist_gradient_boosting,full,O6,0.4871012961518596,0.36292703159567397,-0.2271348036187688
C001,hist_gradient_boosting,metadata_only,O1,0.4426053195459041,0.3613225161302806,-0.008321816326664955
C001,hist_gradient_boosting,metadata_only,O2,0.38370870691810677,0.31175503716816594,-0.0016225924917641077
C001,hist_gradient_boosting,metadata_only,O3,0.4930094880471678,0.3853178822960724,-0.05362350343663236
C001,hist_gradient_boosting,metadata_only,O4,0.4228595770715258,0.3435125248567629,-0.033369235864054714
C001,hist_gradient_boosting,metadata_only,O5,0.6650414141535939,0.5240306746931398,-0.18941072043442575
C001,hist_gradient_boosting,metadata_only,O6,0.4974915082890715,0.368964346432662,-0.2800444398196804
C001,hist_gradient_boosting,weather_only,O1,0.45166938063998074,0.35892849290518913,-0.05004329323460355
C001,hist_gradient_boosting,weather_only,O2,0.36762380027189934,0.300243057577228,0.0805924958568417
C001,hist_gradient_boosting,weather_only,O3,0.4777531789363217,0.36089254698351303,0.010576853215617854
C001,hist_gradient_boosting,weather_only,O4,0.42761170698030826,0.34383215070848405,-0.056725917695160444
C001,hist_gradient_boosting,weather_only,O5,0.6160358689931245,0.47911464344096544,-0.020578620779385215
C001,hist_gradient_boosting,weather_only,O6,0.4823641668634788,0.35564840291339483,-0.2033827435379163
C001,lightgbm,full,O1,0.4380570245686608,0.35083502850490933,0.012295111709885287
C001,lightgbm,full,O2,0.3699002056851029,0.3035318269229439,0.06917090564667572
C001,lightgbm,full,O3,0.48466014147764014,0.36702765346841654,-0.01823847834459391
C001,lightgbm,full,O4,0.43456211251884486,0.3509212266893681,-0.09135716728351317
C001,lightgbm,full,O5,0.6233494577601733,0.475192843462232,-0.04495512102254029
C001,lightgbm,full,O6,0.4865818392547004,0.36333660553347,-0.22451890524334406
C001,lightgbm,metadata_only,O1,0.44260531947515835,0.3613225158977508,-0.00832181600432591
C001,lightgbm,metadata_only,O2,0.3837087070445026,0.3117550374703284,-0.0016225931516444803
C001,lightgbm,metadata_only,O3,0.49300948792536586,0.3853178819602824,-0.05362350291602014
C001,lightgbm,metadata_only,O4,0.42285957631100324,0.34351252415725,-0.03336923214697829
C001,lightgbm,metadata_only,O5,0.6650414150407724,0.5240306752666528,-0.1894107236078213
C001,lightgbm,metadata_only,O6,0.4974915081522271,0.3689643460804649,-0.2800444391154795
C001,lightgbm,weather_only,O1,0.44082851176602894,0.3502252903359586,-0.00024239271807457996
C001,lightgbm,weather_only,O2,0.3750480729291116,0.30795656649203346,0.04308209604933355
C001,lightgbm,weather_only,O3,0.4866407493934365,0.37072560145866496,-0.026577732165967483
C001,lightgbm,weather_only,O4,0.4316380674530223,0.3476390195979467,-0.07671971415706458
C001,lightgbm,weather_only,O5,0.6210324493250142,0.4747328566846521,-0.037201300048997465
C001,lightgbm,weather_only,O6,0.4943319000252266,0.3690820101206404,-0.26383674322344053
C001,linear_shrinkage,full,O1,0.4563666658644984,0.36492526383365037,-0.07199740780130837
C001,linear_shrinkage,full,O2,0.44029071596769653,0.35784582500175477,-0.31880279717992765
C001,linear_shrinkage,full,O3,0.48837050605083143,0.3784585660058796,-0.033888610138788966
C001,linear_shrinkage,full,O4,0.42732130548703035,0.3463036583415402,-0.055291108608235495
C001,linear_shrinkage,full,O5,0.6650414138863858,0.5240306746801368,-0.18941071947863564
C001,linear_shrinkage,full,O6,0.5139093288157928,0.3966229631541501,-0.3659245347361664
C001,linear_shrinkage,metadata_only,O1,0.4426053196558301,0.3613225162697387,-0.008321816827520978
C001,linear_shrinkage,metadata_only,O2,0.3837087067579616,0.31175503697338036,-0.0016225916556871223
C001,linear_shrinkage,metadata_only,O3,0.4930094882905326,0.3853178826133904,-0.05362350447683495
C001,linear_shrinkage,metadata_only,O4,0.42285957692562226,0.34351252476621164,-0.03336923515094692
C001,linear_shrinkage,metadata_only,O5,0.6650414138863813,0.5240306746801372,-0.1894107194786192
C001,linear_shrinkage,metadata_only,O6,0.4974915086484252,0.3689643466766386,-0.28004444166891274
C001,linear_shrinkage,weather_only,O1,0.46315884084904635,0.3748571051706326,-0.1041442672808004
C001,linear_shrinkage,weather_only,O2,0.3837087067579611,0.3117550369733796,-0.0016225916556842357
C001,linear_shrinkage,weather_only,O3,0.48837050605083143,0.3784585660058796,-0.033888610138788966
C001,linear_shrinkage,weather_only,O4,0.42732130548703035,0.3463036583415402,-0.055291108608235495
C001,linear_shrinkage,weather_only,O5,0.6650414138863858,0.5240306746801368,-0.18941071947863564
C001,linear_shrinkage,weather_only,O6,0.5004488472273109,0.3760665966285138,-0.2953081246516853
C010,catboost,full,O1,0.42143079574087067,0.3301903138592986,0.08584794140740437
C010,catboost,full,O2,0.3654128685035931,0.2974450440316925,0.09161808598272236
C010,catboost,full,O3,0.47438207645550123,0.3646269688453367,0.02449064489455499
C010,catboost,full,O4,0.4247975966750344,0.34212923497405967,-0.042863068983248764
C010,catboost,full,O5,0.6117905348716686,0.4795117410941399,-0.006560709358155448
C010,catboost,full,O6,0.4966096117276099,0.3764699807071794,-0.27551022684256754
C010,catboost,metadata_only,O1,0.44260531961028954,0.3613225161687518,-0.008321816620024292
C010,catboost,metadata_only,O2,0.38370870691123354,0.3117550371744683,-0.0016225924558805893
C010,catboost,metadata_only,O3,0.4930094881568304,0.3853178824057738,-0.05362350390535764
C010,catboost,metadata_only,O4,0.4228595768359543,0.34351252468057486,-0.033369234712692375
