arm_id,model_id,feature_family,outer_fold,config_id,mean_inner_rmse,worst_inner_rmse,complexity_rank
C000,lightgbm,metadata_only,O1,LGB_C02,0.4493250100183281,0.5092128528505081,2.0
C000,lightgbm,metadata_only,O2,LGB_C01,0.44729817598180993,0.5050532401055873,1.0
C000,lightgbm,metadata_only,O3,LGB_C01,0.40684999834474067,0.44539380594019684,1.0
C000,lightgbm,metadata_only,O4,LGB_C01,0.4407040004459751,0.4930094882033489,1.0
C000,lightgbm,metadata_only,O5,LGB_C01,0.433192590602812,0.4930094882033489,1.0
C000,lightgbm,metadata_only,O6,LGB_C01,0.5269701598667555,0.6650414149862102,1.0
C000,lightgbm,weather_only,O1,LGB_C01,0.4442314339844667,0.48648421936787395,1.0
C000,lightgbm,weather_only,O2,LGB_C02,0.4525682946762599,0.5118000848717555,2.0
C000,lightgbm,weather_only,O3,LGB_C01,0.4045124201407096,0.43167145017071507,1.0
C000,lightgbm,weather_only,O4,LGB_C03,0.42616641780982095,0.47659573560770824,3.0
C000,lightgbm,weather_only,O5,LGB_C01,0.42583543531643214,0.47833739530908637,1.0
C000,lightgbm,weather_only,O6,LGB_C02,0.5034025333387488,0.6068042698768814,2.0
C000,linear_shrinkage,full,O1,LIN_C01,0.4285152087014284,0.46914430362130277,1.0
C000,linear_shrinkage,full,O2,LIN_C01,0.4418368010447642,0.49113610095301,1.0
C000,linear_shrinkage,full,O3,LIN_C04,0.4088665692987725,0.4433586853069247,4.0
C000,linear_shrinkage,full,O4,LIN_C04,0.4393771493645026,0.48433997915070004,4.0
C000,linear_shrinkage,full,O5,LIN_C04,0.4350138179589029,0.48433997915070004,4.0
C000,linear_shrinkage,full,O6,LIN_C03,0.5204052091455857,0.6446550628558004,3.0
C000,linear_shrinkage,metadata_only,O1,LIN_C01,0.44932501004953956,0.5092128533759293,1.0
C000,linear_shrinkage,metadata_only,O2,LIN_C03,0.44729817650825554,0.5050532409612738,3.0
C000,linear_shrinkage,metadata_only,O3,LIN_C01,0.4068499984404846,0.44539380586017824,1.0
C000,linear_shrinkage,metadata_only,O4,LIN_C01,0.4407040003028908,0.4930094882905326,1.0
C000,linear_shrinkage,metadata_only,O5,LIN_C01,0.4331925906580388,0.4930094882905326,1.0
C000,linear_shrinkage,metadata_only,O6,LIN_C01,0.5269701597008454,0.6650414138863812,1.0
C000,linear_shrinkage,weather_only,O1,LIN_C01,0.44447552503392984,0.4917468885159764,1.0
C000,linear_shrinkage,weather_only,O2,LIN_C04,0.45197560799311315,0.5192838075692785,4.0
C000,linear_shrinkage,weather_only,O3,LIN_C04,0.408690570044235,0.442728135978267,4.0
C000,linear_shrinkage,weather_only,O4,LIN_C04,0.439072387018264,0.485060331353881,4.0
C000,linear_shrinkage,weather_only,O5,LIN_C04,0.4345122248645848,0.485060331353881,4.0
