candidate_id,signal_strength_mde,event_prevalence,runs,permissions,permission_probability,wilson95_low,wilson95_high
kse_primary,0.0,base,480,18,0.0375,0.023850066538831934,0.058493970116900156
kse_primary,0.0,half,480,18,0.0375,0.023850066538831934,0.058493970116900156
kse_primary,0.0,quarter,480,13,0.027083333333333334,0.015894750065827808,0.045781359487555906
kse_primary,0.25,base,480,22,0.04583333333333333,0.03045979395060108,0.0684185843870097
kse_primary,0.25,half,480,14,0.029166666666666667,0.017452060312482066,0.048357634661371336
kse_primary,0.25,quarter,480,6,0.0125,0.0057411122642340474,0.02699989934586194
kse_primary,0.5,base,480,23,0.04791666666666667,0.03213878358090283,0.07087318017717766
kse_primary,0.5,half,480,18,0.0375,0.023850066538831934,0.058493970116900156
kse_primary,0.5,quarter,480,16,0.03333333333333333,0.020620270197241428,0.05345659561755131
kse_primary,1.0,base,480,22,0.04583333333333333,0.03045979395060108,0.0684185843870097
kse_primary,1.0,half,480,17,0.035416666666666666,0.0222281042304214,0.05598234700484102
kse_primary,1.0,quarter,480,13,0.027083333333333334,0.015894750065827808,0.045781359487555906
kse_primary,1.5,base,480,24,0.05,0.0338271187401656,0.07331843043838455
kse_primary,1.5,half,480,21,0.04375,0.028790734969356763,0.06595405794778436
kse_primary,1.5,quarter,480,12,0.025,0.014357806275901537,0.0431847178570125
runner_up_1,0.0,base,480,21,0.04375,0.028790734969356763,0.06595405794778436
runner_up_1,0.0,half,480,17,0.035416666666666666,0.0222281042304214,0.05598234700484102
runner_up_1,0.0,quarter,480,6,0.0125,0.0057411122642340474,0.02699989934586194
runner_up_1,0.25,base,480,24,0.05,0.0338271187401656,0.07331843043838455
runner_up_1,0.25,half,480,20,0.041666666666666664,0.02713225863874788,0.06347894885792356
runner_up_1,0.25,quarter,480,7,0.014583333333333334,0.007081732154601205,0.029792864875964456
runner_up_1,0.5,base,480,30,0.0625,0.04412701073383607,0.08782005096753212
runner_up_1,0.5,half,480,21,0.04375,0.028790734969356763,0.06595405794778436
runner_up_1,0.5,quarter,480,11,0.022916666666666665,0.012843564339147085,0.04056537437329727
runner_up_1,1.0,base,480,29,0.06041666666666667,0.042392135687820395,0.08542134059307811
runner_up_1,1.0,half,480,24,0.05,0.0338271187401656,0.07331843043838455
runner_up_1,1.0,quarter,480,14,0.029166666666666667,0.017452060312482066,0.048357634661371336
runner_up_1,1.5,base,480,36,0.075,0.05466377124476657,0.10208480297941969
runner_up_1,1.5,half,480,37,0.07708333333333334,0.05643894906969418,0.10444321057496175
runner_up_1,1.5,quarter,480,19,0.03958333333333333,0.02548509511252227,0.0609925269636795
runner_up_2,0.0,base,480,47,0.09791666666666667,0.07443544330697291,0.12778257054237976
runner_up_2,0.0,half,480,29,0.06041666666666667,0.042392135687820395,0.08542134059307811
runner_up_2,0.0,quarter,480,12,0.025,0.014357806275901537,0.0431847178570125
runner_up_2,0.25,base,480,49,0.10208333333333333,0.07808133548530842,0.13240384920498363
runner_up_2,0.25,half,480,35,0.07291666666666667,0.05289368495861573,0.09972130384510086
runner_up_2,0.25,quarter,480,10,0.020833333333333332,0.011354857070310935,0.03792049622166375
runner_up_2,0.5,base,480,63,0.13125,0.10394756709343944,0.16440781348342803
runner_up_2,0.5,half,480,47,0.09791666666666667,0.07443544330697291,0.12778257054237976
runner_up_2,0.5,quarter,480,23,0.04791666666666667,0.03213878358090283,0.07087318017717766
runner_up_2,1.0,base,480,69,0.14375,0.1151899008950451,0.1779669922046404
runner_up_2,1.0,half,480,56,0.11666666666666667,0.09094432432477319,0.14847595830880658
runner_up_2,1.0,quarter,480,21,0.04375,0.028790734969356763,0.06595405794778436
runner_up_2,1.5,base,480,96,0.2,0.1666608046395319,0.2381028948128349
runner_up_2,1.5,half,480,64,0.13333333333333333,0.10581541761313282,0.1666735483842043
runner_up_2,1.5,quarter,480,28,0.058333333333333334,0.04066407652017921,0.08301581434024964
winner,0.0,base,480,19,0.03958333333333333,0.02548509511252227,0.0609925269636795
winner,0.0,half,480,14,0.029166666666666667,0.017452060312482066,0.048357634661371336
winner,0.0,quarter,480,7,0.014583333333333334,0.007081732154601205,0.029792864875964456
winner,0.25,base,480,19,0.03958333333333333,0.02548509511252227,0.0609925269636795
winner,0.25,half,480,16,0.03333333333333333,0.020620270197241428,0.05345659561755131
winner,0.25,quarter,480,6,0.0125,0.0057411122642340474,0.02699989934586194
winner,0.5,base,480,19,0.03958333333333333,0.02548509511252227,0.0609925269636795
winner,0.5,half,480,12,0.025,0.014357806275901537,0.0431847178570125
winner,0.5,quarter,480,3,0.00625,0.0021277938342480623,0.0182124615144389
winner,1.0,base,480,31,0.06458333333333334,0.04586839555141688,0.09021225157042102
winner,1.0,half,480,23,0.04791666666666667,0.03213878358090283,0.07087318017717766
winner,1.0,quarter,480,8,0.016666666666666666,0.008468917956316031,0.032539264494719305
winner,1.5,base,480,42,0.0875,0.06538517749460929,0.116164909252395
winner,1.5,half,480,34,0.07083333333333333,0.0511288863039106,0.09735251707933629
winner,1.5,quarter,480,12,0.025,0.014357806275901537,0.0431847178570125
