base_id,candidate_id,arm_id,model_id,signal_strength_mde,measurement_error_sd,spatial_mismatch_fraction,seed,n_test,rmse_model,rmse_metadata,rmse_zero,module_a_point_pass,module_b_point_pass,event_prevalence,event_n,event_spearman,event_topk_lift,module_e_point_pass,policy_permission,ground_truth_valid,correct_permission,correct_stop,ground_truth_used_as_model_input
2ece6f33a3b3b50cae49,winner,C310,catboost,0.0,0.0,0.0,71002,66,0.47481964465168774,0.47514370366504244,0.4728670977399679,False,True,base,11,0.18181818181818182,2.727272727272727,True,False,False,False,True,False
2ece6f33a3b3b50cae49,winner,C310,catboost,0.0,0.0,0.0,71002,66,0.47481964465168774,0.47514370366504244,0.4728670977399679,False,True,half,6,0.7142857142857143,3.6666666666666665,True,False,False,False,True,False
2ece6f33a3b3b50cae49,winner,C310,catboost,0.0,0.0,0.0,71002,66,0.47481964465168774,0.47514370366504244,0.4728670977399679,False,True,quarter,3,0.5,7.333333333333333,True,False,False,False,True,False
d7a2df2bb2567002acfa,runner_up_1,C300,catboost,0.0,0.0,0.0,71002,66,0.4530098076107647,0.449316340225015,0.4728670977399679,True,False,base,11,-0.14545454545454548,2.727272727272727,False,False,False,False,True,False
d7a2df2bb2567002acfa,runner_up_1,C300,catboost,0.0,0.0,0.0,71002,66,0.4530098076107647,0.449316340225015,0.4728670977399679,True,False,half,6,0.4285714285714286,1.8333333333333333,False,False,False,False,True,False
d7a2df2bb2567002acfa,runner_up_1,C300,catboost,0.0,0.0,0.0,71002,66,0.4530098076107647,0.449316340225015,0.4728670977399679,True,False,quarter,3,-1.0,0.0,False,False,False,False,True,False
02581c0f6a20d4cb1d37,runner_up_2,C301,extra_trees,0.0,0.0,0.0,71002,66,0.4602159351897459,0.44935789512096724,0.4728670977399679,True,False,base,11,0.19090909090909092,1.6363636363636365,True,False,False,False,True,False
02581c0f6a20d4cb1d37,runner_up_2,C301,extra_trees,0.0,0.0,0.0,71002,66,0.4602159351897459,0.44935789512096724,0.4728670977399679,True,False,half,6,0.6,1.8333333333333333,True,False,False,False,True,False
02581c0f6a20d4cb1d37,runner_up_2,C301,extra_trees,0.0,0.0,0.0,71002,66,0.4602159351897459,0.44935789512096724,0.4728670977399679,True,False,quarter,3,0.5,0.0,False,False,False,False,True,False
06a1d3f1294a13287532,kse_primary,KSE_PRIMARY,catboost,0.0,0.0,0.0,71002,66,0.4603756800420147,0.449790101960164,0.4728670977399679,True,False,base,11,-0.15454545454545454,1.6363636363636365,False,False,False,False,True,False
